i,j,value
0,0,0.39041
0,1,0.403471
0,2,0.416126
0,3,0.428346
0,4,0.440104
0,5,0.45137
0,6,0.462113
0,7,0.472301
0,8,0.481901
0,9,0.49088
0,10,0.499205
0,11,0.506842
0,12,0.513759
0,13,0.519925
0,14,0.525311
0,15,0.52989
0,16,0.533638
0,17,0.536535
0,18,0
0,19,0
0,20,0
0,21,0
0,22,0.011748
0,23,0.547878
0,24,0.551625
0,25,0.554575
0,26,0.55678
0,27,0.55829
0,28,0.559154
0,29,0.559421
0,30,0.559139
0,31,0.558352
0,32,0.557101
0,33,0.555425
0,34,0.553358
0,35,0.550931
0,36,0.548168
0,37,0.545093
0,38,0.541723
0,39,0.538072
0,40,0.534148
0,41,0.529957
0,42,0.5255
0,43,0.520775
0,44,0.515775
0,45,0.51049
0,46,0.504909
0,47,0.499015
0,48,0.500407
0,49,0.502434
0,50,0.504248
0,51,0.50584
0,52,0.507196
0,53,0.508304
0,54,0.509152
0,55,0.509728
0,56,0.51002
0,57,0.510016
0,58,0.509704
0,59,0.509075
0,60,0.508119
0,61,0.506826
0,62,0.505185
0,63,0.503189
0,64,0.503039
0,65,0.509111
0,66,0.514639
0,67,0.519637
0,68,0.524116
0,69,0.528086
0,70,0.531555
0,71,0.534527
0,72,0.537005
0,73,0.538988
0,74,0.540473
0,75,0.541455
0,76,0.541924
0,77,0.54187
0,78,0.541278
0,79,0.540132
0,80,0.538414
0,81,0.536103
0,82,0.533176
0,83,0.529611
0,84,0.525383
0,85,0.520466
0,86,0.514835
0,87,0.508466
0,88,0.501332
0,89,0.493411
0,90,0.48468
0,91,0.475117
0,92,0.464702
0,93,0.453417
0,94,0.441247
0,95,0.428176
0,96,0.417757
0,97,0.411906
0,98,0.405425
0,99,0.398336
1,0,0.405507
1,1,0.418907
1,2,0.431905
1,3,0.444473
1,4,0.45658
1,5,0.468194
1,6,0.479284
1,7,0.489815
1,8,0.499751
1,9,0.509056
1,10,0.517695
1,11,0.52563
1,12,0.532825
1,13,0.539246
1,14,0.544861
1,15,0.549639
1,16,0.553552
1,17,0.556579
1,18,0
1,19,0
1,20,0
1,21,0
1,22,0.0251239
1,23,0.573379
1,24,0.576833
1,25,0.579482
1,26,0.581381
1,27,0.582584
1,28,0.583146
1,29,0.58312
1,30,0.582557
1,31,0.581506
1,32,0.580009
1,33,0.578109
1,34,0.575842
1,35,0.57324
1,36,0.57033
1,37,0.567135
1,38,0.563674
1,39,0.559961
1,40,0.556003
1,41,0.551806
1,42,0.547371
1,43,0.542693
1,44,0.537766
1,45,0.532578
1,46,0.527116
1,47,0.525902
1,48,0.528073
1,49,0.530066
1,50,0.531867
1,51,0.533464
1,52,0.534844
1,53,0.535991
1,54,0.536893
1,55,0.537536
1,56,0.537908
1,57,0.537997
1,58,0.537791
1,59,0.53728
1,60,0.536455
1,61,0.535305
1,62,0.533823
1,63,0.532
1,64,0.529827
1,65,0.533604
1,66,0.53904
1,67,0.543958
1,68,0.548372
1,69,0.552292
1,70,0.555727
1,71,0.558683
1,72,0.561162
1,73,0.563164
1,74,0.564686
1,75,0.565723
1,76,0.566264
1,77,0.566298
1,78,0.56581
1,79,0.564781
1,80,0.563193
1,81,0.561021
1,82,0.558243
1,83,0.554833
1,84,0.550764
1,85,0.546008
1,86,0.540538
1,87,0.534327
1,88,0.527348
1,89,0.519574
1,90,0.510983
1,91,0.50155
1,92,0.491255
1,93,0.480079
1,94,0.468005
1,95,0.455019
1,96,0.441108
1,97,0.431109
1,98,0.424412
1,99,0.417092
2,0,0.420292
2,1,0.434043
2,2,0.447397
2,3,0.460325
2,4,0.472796
2,5,0.484776
2,6,0.496231
2,7,0.507123
2,8,0.517416
2,9,0.527069
2,10,0.536042
2,11,0.544296
2,12,0.551791
2,13,0.558489
2,14,0.564351
2,15,0.569345
2,16,0.573439
2,17,0.576608
2,18,0
2,19,0
2,20,0
2,21,0
2,22,0.0382614
2,23,0.598219
2,24,0.601363
2,25,0.603693
2,26,0.605267
2,27,0.606146
2,28,0.606388
2,29,0.606052
2,30,0.605193
2,31,0.603862
2,32,0.602107
2,33,0.599973
2,34,0.597497
2,35,0.594715
2,36,0.591654
2,37,0.588338
2,38,0.584786
2,39,0.581012
2,40,0.577024
2,41,0.572827
2,42,0.56842
2,43,0.563798
2,44,0.558954
2,45,0.553874
2,46,0.549971
2,47,0.55224
2,48,0.554367
2,49,0.556336
2,50,0.558134
2,51,0.559746
2,52,0.561156
2,53,0.562348
2,54,0.563308
2,55,0.564022
2,56,0.564477
2,57,0.564658
2,58,0.564557
2,59,0.564161
2,60,0.563461
2,61,0.56245
2,62,0.561119
2,63,0.559461
2,64,0.557468
2,65,0.557314
2,66,0.562649
2,67,0.567481
2,68,0.571823
2,69,0.575687
2,70,0.579084
2,71,0.58202
2,72,0.584498
2,73,0.586519
2,74,0.58808
2,75,0.589173
2,76,0.58979
2,77,0.589917
2,78,0.589539
2,79,0.588635
2,80,0.587184
2,81,0.585162
2,82,0.582542
2,83,0.579297
2,84,0.575396
2,85,0.570811
2,86,0.565511
2,87,0.559467
2,88,0.552649
2,89,0.54503
2,90,0.536583
2,91,0.527285
2,92,0.517113
2,93,0.506047
2,94,0.49407
2,95,0.481167
2,96,0.467326
2,97,0.452536
2,98,0.443314
2,99,0.435748
3,0,0.434743
3,1,0.448854
3,2,0.462576
3,3,0.475878
3,4,0.488728
3,5,0.501091
3,6,0.512929
3,7,0.524204
3,8,0.534874
3,9,0.544897
3,10,0.554229
3,11,0.562827
3,12,0.570645
3,13,0.577641
3,14,0.583773
3,15,0.589003
3,16,0.593295
3,17,0.59662
3,18,0
3,19,0
3,20,0
3,21,0
3,22,0.0511506
3,23,0.622404
3,24,0.625222
3,25,0.627213
3,26,0.628443
3,27,0.628977
3,28,0.62888
3,29,0.628215
3,30,0.627043
3,31,0.625418
3,32,0.623393
3,33,0.621014
3,34,0.618322
3,35,0.615353
3,36,0.612137
3,37,0.608698
3,38,0.605056
3,39,0.601224
3,40,0.597211
3,41,0.593019
3,42,0.588648
3,43,0.584092
3,44,0.579341
3,45,0.57438
3,46,0.575027
3,47,0.577241
3,48,0.579335
3,49,0.581292
3,50,0.583097
3,51,0.584733
3,52,0.586181
3,53,0.587425
3,54,0.588448
3,55,0.589236
3,56,0.589774
3,57,0.590049
3,58,0.590049
3,59,0.589765
3,60,0.589187
3,61,0.588307
3,62,0.587119
3,63,0.585617
3,64,0.583796
3,65,0.581649
3,66,0.585471
3,67,0.590208
3,68,0.59447
3,69,0.598273
3,70,0.601627
3,71,0.60454
3,72,0.607015
3,73,0.609054
3,74,0.610653
3,75,0.611806
3,76,0.612503
3,77,0.612728
3,78,0.612466
3,79,0.611695
3,80,0.610391
3,81,0.608528
3,82,0.606076
3,83,0.603006
3,84,0.599285
3,85,0.594881
3,86,0.589761
3,87,0.583892
3,88,0.577244
3,89,0.569786
3,90,0.561491
3,91,0.552331
3,92,0.542284
3,93,0.531329
3,94,0.519448
3,95,0.506626
3,96,0.492851
3,97,0.478112
3,98,0.462404
3,99,0.454295
4,0,0.448832
4,1,0.463313
4,2,0.477414
4,3,0.491104
4,4,0.504349
4,5,0.517111
4,6,0.529352
4,7,0.54103
4,8,0.552101
4,9,0.562519
4,10,0.572235
4,11,0.581202
4,12,0.58937
4,13,0.596691
4,14,0.603117
4,15,0.608606
4,16,0.613115
4,17,0.616612
4,18,0.619068
4,19,0
4,20,0
4,21,0
4,22,0.642563
4,23,0.645944
4,24,0.648415
4,25,0.650047
4,26,0.65091
4,27,0.651078
4,28,0.650621
4,29,0.649608
4,30,0.648105
4,31,0.646171
4,32,0.643861
4,33,0.641227
4,34,0.63831
4,35,0.635149
4,36,0.631775
4,37,0.628213
4,38,0.624482
4,39,0.620596
4,40,0.616563
4,41,0.612385
4,42,0.608059
4,43,0.603579
4,44,0.598932
4,45,0.596524
4,46,0.598776
4,47,0.600948
4,48,0.603022
4,49,0.604981
4,50,0.606804
4,51,0.608472
4,52,0.609967
4,53,0.611269
4,54,0.612361
4,55,0.613226
4,56,0.613849
